date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-04-15,2468,116000,1483600,12.8,12.9,0.1,59.0,12.9,12.7
2015-04-16,2468,45041,578319,12.9,12.8,-0.1,34.0,12.9,12.8
2015-04-17,2468,29000,369950,12.85,12.75,-0.05,20.0,12.85,12.75
2015-04-20,2468,75002,955525,12.8,12.65,-0.1,41.0,12.9,12.65
2015-04-21,2468,69000,867700,12.65,12.55,-0.1,39.0,12.65,12.5
2015-04-22,2468,201122,2533625,12.65,12.55,0.0,28.0,12.75,12.55
2015-04-23,2468,55000,690850,12.6,12.55,0.0,31.0,12.7,12.5
2015-04-24,2468,66654,846924,12.6,12.65,0.1,45.0,12.8,12.6
2015-04-27,2468,37000,469600,12.65,12.65,0.0,26.0,12.8,12.65
2015-04-28,2468,91000,1146250,12.75,12.6,-0.05,45.0,12.75,12.5
2015-04-29,2468,53000,668750,12.6,12.55,-0.05,41.0,12.7,12.55
2015-04-30,2468,78000,977850,12.6,12.65,0.1,42.0,12.7,12.45
2015-05-04,2468,114000,1424300,12.5,12.5,-0.15,51.0,12.6,12.4
2015-05-05,2468,99136,1230422,12.5,12.35,-0.15,34.0,12.5,12.35
2015-05-06,2468,97001,1217412,12.35,12.65,0.3,71.0,12.8,12.35
2015-05-07,2468,43000,541050,12.6,12.6,-0.05,34.0,12.65,12.5
2015-05-08,2468,65000,812050,12.6,12.5,-0.1,37.0,12.65,12.4
2015-05-11,2468,116000,1421250,12.55,12.1,-0.4,63.0,12.55,12.0
2015-05-12,2468,39741,484416,12.05,12.15,0.05,33.0,12.4,12.05
2015-05-13,2468,19000,231950,12.1,12.15,0.0,16.0,12.45,12.1
2015-05-14,2468,56020,672841,12.15,12.0,-0.15,32.0,12.15,12.0
2015-05-15,2468,72000,858050,12.0,11.85,-0.15,39.0,12.1,11.8
2015-05-18,2468,87000,1012450,11.9,11.7,-0.15,39.0,11.9,11.45
2015-05-19,2468,96133,1109019,11.85,11.7,0.0,53.0,11.85,11.45
2015-05-20,2468,54383,635257,11.55,12.0,0.3,42.0,12.0,11.5
2015-05-21,2468,35000,407750,11.65,11.6,-0.4,30.0,11.85,11.6
2015-05-22,2468,38000,442800,11.7,11.6,0.0,27.0,11.75,11.6
2015-05-25,2468,38000,438750,11.55,11.55,-0.05,26.0,11.6,11.5
2015-05-26,2468,24300,280100,11.6,11.5,-0.05,17.0,11.6,11.5
2015-05-27,2468,106155,1223667,11.5,11.5,0.0,63.0,11.7,11.4
2015-05-28,2468,18000,210250,11.65,11.65,0.15,9.0,11.7,11.65
2015-05-29,2468,104258,1205391,11.75,11.7,0.05,53.0,11.75,11.4
2015-06-01,2468,28000,326450,11.65,11.8,0.1,19.0,11.8,11.55
2015-06-02,2468,16117,189818,11.65,11.8,0.0,12.0,11.8,11.65
2015-06-03,2468,67000,776700,11.75,11.7,-0.1,30.0,11.75,11.5
2015-06-04,2468,79300,917280,11.5,11.7,0.0,56.0,11.7,11.45
2015-06-05,2468,75000,861350,11.55,11.65,-0.05,54.0,11.65,11.35
2015-06-08,2468,24000,275250,11.5,11.45,-0.2,17.0,11.55,11.4
2015-06-09,2468,225000,2476100,11.45,11.0,-0.45,82.0,11.5,10.55
2015-06-10,2468,105000,1145700,10.8,11.0,0.0,45.0,11.0,10.75
2015-06-11,2468,52130,564930,11.0,10.9,-0.1,28.0,11.0,10.75
2015-06-12,2468,226185,2390911,10.7,10.65,-0.25,78.0,10.85,10.45
2015-06-15,2468,48200,513210,10.65,10.7,0.05,21.0,10.7,10.6
2015-06-16,2468,39000,421000,10.6,10.9,0.2,15.0,10.9,10.6
2015-06-17,2468,73715,790850,10.65,10.8,-0.1,48.0,10.85,10.6
2015-06-18,2468,27000,290350,10.7,10.75,-0.05,8.0,10.8,10.7
2015-06-22,2468,178000,1945300,10.8,11.15,0.4,72.0,11.35,10.7
2015-06-23,2468,143000,1613650,11.3,11.35,0.2,64.0,11.4,11.2
2015-06-24,2468,82000,911200,11.25,11.0,-0.35,48.0,11.35,11.0
2015-06-25,2468,12050,133910,11.0,11.15,0.15,11.0,11.15,11.0
2015-06-26,2468,15150,168487,11.15,11.15,0.0,11.0,11.15,11.05
2015-06-29,2468,27000,298450,11.0,11.15,0.0,22.0,11.2,10.8
2015-06-30,2468,10000,111050,11.0,11.2,0.05,7.0,11.2,11.0
2015-07-01,2468,29000,322350,11.2,11.2,0.0,17.0,11.2,11.05
2015-07-02,2468,18000,201050,11.2,11.2,0.0,10.0,11.2,11.1
2015-07-03,2468,48199,529618,11.2,11.05,-0.15,33.0,11.2,10.9
2015-07-06,2468,6000,65400,10.9,10.9,-0.15,4.0,10.9,10.9
2015-07-07,2468,56000,615350,10.95,10.95,0.05,20.0,11.0,10.95
2015-07-08,2468,73391,774694,11.0,10.65,-0.3,40.0,11.0,10.35
2015-07-09,2468,40000,420500,10.65,10.6,-0.05,21.0,10.65,10.35
2015-07-13,2468,58000,634350,10.85,10.9,0.3,36.0,11.05,10.85
2015-07-14,2468,45000,489100,10.75,10.85,-0.05,32.0,11.0,10.75
2015-07-15,2468,175000,1864950,10.8,10.75,-0.1,56.0,10.8,10.5
2015-07-16,2468,88000,933350,10.7,10.6,-0.15,43.0,10.9,10.5
2015-07-17,2468,599000,6847850,10.6,11.65,1.05,173.0,11.65,10.55
2015-07-20,2468,927576,11028653,11.7,12.0,0.35,305.0,12.05,11.65
2015-07-21,2468,830401,9722391,11.5,11.5,0.0,306.0,11.85,11.25
2015-07-22,2468,430007,4848128,11.3,11.15,-0.35,146.0,11.6,10.7
2015-07-23,2468,482250,5244087,11.0,10.7,-0.45,145.0,11.15,10.45
2015-07-24,2468,261000,2812500,10.6,10.85,0.15,71.0,10.85,10.6
2015-07-27,2468,231100,2428390,10.75,10.3,-0.55,68.0,10.8,10.15
2015-07-28,2468,205103,2144981,10.2,10.5,0.2,52.0,10.6,10.1
2015-07-29,2468,60000,628400,10.6,10.4,-0.1,18.0,10.6,10.35
2015-07-30,2468,86543,904827,10.3,10.45,0.05,33.0,10.6,10.3
2015-07-31,2468,72000,747650,10.45,10.35,-0.1,30.0,10.45,10.3
2015-08-03,2468,81100,809795,10.2,10.15,-0.2,37.0,10.2,9.8
2015-08-04,2468,70000,725900,10.15,10.2,0.05,19.0,10.55,10.1
2015-08-05,2468,161457,1660402,10.2,10.4,0.2,34.0,10.45,10.2
2015-08-06,2468,125000,1292700,10.2,10.25,-0.15,34.0,10.55,10.2
2015-08-07,2468,832099,9204308,10.2,11.25,1.0,168.0,11.25,10.15
2015-08-10,2468,572000,6383550,11.35,11.05,-0.2,110.0,11.35,11.0
2015-08-11,2468,448000,4973450,11.1,11.0,-0.05,87.0,11.35,10.9
2015-08-12,2468,114576,1267686,11.0,11.05,0.05,37.0,11.15,11.0
2015-08-13,2468,41000,449350,11.0,10.95,-0.1,23.0,11.05,10.85
2015-08-14,2468,54000,595000,10.95,11.0,0.05,13.0,11.05,10.9
2015-08-17,2468,197000,2166300,11.1,11.0,0.0,47.0,11.2,10.75
2015-08-18,2468,29000,320650,11.0,11.05,0.05,10.0,11.1,11.0
2015-08-19,2468,572000,6120600,11.0,10.8,-0.25,92.0,11.0,10.5
2015-08-20,2468,183000,1984950,10.8,10.9,0.1,30.0,10.9,10.75
2015-08-21,2468,97199,1032938,10.65,10.55,-0.35,28.0,10.9,10.35
2015-08-24,2468,663010,6641080,10.45,9.98,-0.57,165.0,10.45,9.6
2015-08-25,2468,829856,7712286,8.99,9.61,-0.37,166.0,9.89,8.99
2015-08-26,2468,276622,2653953,9.58,9.75,0.14,78.0,9.83,9.4
2015-08-27,2468,542030,5548690,9.75,10.0,0.25,139.0,10.6,9.75
2015-08-28,2468,224100,2284860,10.05,10.2,0.2,56.0,10.25,10.0
